"","Ref","G4MP2","B3LYP","M06-2X","wB97X-D"
"C5H5NO.1",-10.44,-8.19,-12.51,-12.18,-10.86
"C5H5NO.2",-9.75,-7.01,-11.77,-10.93,-11.65
"C5H7NO",-4.28,-1.32,-8.66,-2.66,-4.05
"C5H9NO",-35.59,-34.09,-40.97,-36.45,-36.94
"C5H11NO",-69.36,-71.42,-78.05,-72.76,-76.21
"C6H7NO",-20.17,-18.38,-22.69,-21.91,-20.83
"C6H7NO.1",-17.14,-17.1,-22.23,-20.6,-21.75
"C6H7NO.2",-16.68,-17.82,-22.72,-21.22,-20.41
"C6H7NO.3",-28.73,-26.66,-32.56,-30.11,-31.46
"C6H11NO",-58.84,-57.03,-61.68,-59.57,-63.02
"C6H13NO",-77.49,-75.3,-82.13,-76.03,-80.05
"C6H13NO.1",-72.85,-72.22,-80.62,-73.65,-77.16
"C7H7NO",9.44,7.16,-0.66,4.52,3.42
"CH3NO2",-15.87,-15.4,-22.63,-14.68,-17.48
"CH3NO2.1",-17.76,-17.82,-25.6,-17.17,-22.18
"C2H5NO2",-24.45,-24.35,-33.33,-23.84,-28.92
"C2H5NO2.1",-93.71,-93.42,-96.55,-97.52,-98.01
"C3H7NO2",-29.59,-29.11,-38.31,-28.02,-33.66
"C3H7NO2.1",-33.22,-33.11,-41.25,-31.75,-36.93
"C4H9NO2",-34.39,-34.25,-43.62,-32.68,-38.81
"C4H9NO2.1",-39.1,-38.87,-46.7,-37.07,-42.54
"C4H9NO2.2",-42.33,-41.73,-48.46,-39.87,-44.5
"C5H11NO2",-108.77,-110.91,-112.31,-113.17,-113.98
"C6H5NO2",16.13,13.87,6.99,13.6,10.38
"C2H5NO3",-36.83,-36.36,-49.5,-38.16,-43.11
"C3H7NO3",-41.56,-41.19,-54.69,-42.64,-48.01
"C3H7NO3.1",-45.65,-45.15,-57.96,-46.44,-51.58
"C4H3NO3",-6.88,-8.12,-16.74,-11.83,-14.38
"C4H6N2O",4.71,8.43,0.33,5.29,2.99
"C4H6N2O.1",25.65,26.88,16.26,27.01,23.2
"C5H8N2O",1.24,0.98,-8.49,-2.25,-4.81
"C5H10N2O",3.97,7.32,-2.6,6.89,1.57
