"","B3LYP","B97-1","BH&HLYP","BLYP","CAM-B3LYP","LC-ωPBE","PBE","PBE0","PW86PBE"
"129",0.70304347826087,0.94695652173913,2.28434782608696,1.69826086956522,-0.00652173913043478,0.15695652173913,-0.911304347826087,-0.173478260869565,0.824347826086957
"130",0.999375,0.423125,4.161875,1.29625,0.3925,0.196875,-3.069375,-0.964375,-0.888125
"131",0.739230769230769,0.949615384615385,2.32961538461538,1.74153846153846,0.0111538461538462,0.144230769230769,-0.935,-0.188461538461538,0.824230769230769
"132",0.932777777777778,-0.0338888888888889,4.37833333333333,1.27444444444444,0.263888888888889,-0.245555555555556,-3.99833333333333,-1.72722222222222,-1.45666666666667
"133",0.937222222222222,-0.0388888888888889,4.63333333333333,1.08833333333333,0.493888888888889,0.175555555555556,-4.165,-1.66722222222222,-1.63055555555556
"134",0.71,0.496363636363636,4.21909090909091,0.591818181818182,-0.106363636363636,0.03,-2.46545454545455,-0.0372727272727273,-0.323636363636364
"135",0.863333333333333,1.05666666666667,2.92733333333333,1.56866666666667,0.0733333333333333,0.327333333333333,-1.00266666666667,0.156,0.842
"136",0.477857142857143,-0.0414285714285714,3.885,0.657857142857143,-0.130714285714286,-0.251428571428571,-3.61857142857143,-1.34857142857143,-1.41285714285714
"137",0.896923076923077,0.128461538461538,4.58615384615385,0.985384615384615,0.18,-0.121538461538462,-3.66769230769231,-1.17923076923077,-1.16923076923077
"138",0.470909090909091,0.375454545454545,3.82636363636364,0.437272727272727,-0.106363636363636,0.254545454545455,-2.70727272727273,-0.412727272727273,-0.715454545454545
"139",0.896923076923077,0.742307692307692,3.28923076923077,1.51769230769231,0.0184615384615385,-0.138461538461538,-1.71076923076923,-0.300769230769231,0.441538461538462
"140",0.924285714285714,0.493571428571429,3.66214285714286,1.39642857142857,0.06,-0.372142857142857,-2.33357142857143,-0.624285714285714,-0.0971428571428572
"141",1.23833333333333,-0.0966666666666667,6.33583333333333,0.4775,0.518333333333333,-0.0833333333333333,-4.82166666666667,-1.02583333333333,-2.10416666666667
"142",-0.11,-0.895,4.6,-0.727,-0.622,-0.658,-5.234,-1.808,-3.061
"143",2.72363636363636,2.23181818181818,6.05727272727273,2.69272727272727,1.97181818181818,1.89454545454545,-0.646363636363636,1.67272727272727,1.74090909090909
"144",1.13166666666667,0.0591666666666667,4.51,1.38833333333333,0.5025,-0.0075,-3.69583333333333,-1.445,-1.17166666666667
"145",0.56,0.049,5.363,-0.317,0.104,0.028,-4.032,-0.477,-2.404
"146",0.276,-0.5,5.073,-0.395,-0.194,-0.179,-4.883,-1.391,-2.719
"147",1.07777777777778,0.582222222222222,5.39222222222222,0.523333333333333,0.58,0.542222222222222,-3.24777777777778,-0.136666666666667,-1.20444444444444
"148",0.434545454545455,0.240909090909091,3.75727272727273,0.412727272727273,-0.0790909090909091,0.11,-2.79454545454545,-0.53,-0.846363636363636
"149",0.851538461538462,0.192307692307692,5.17923076923077,0.344615384615385,-0.0592307692307692,-0.245384615384615,-3.45384615384615,-0.31,-1.02538461538462
"150",1.15727272727273,0.504545454545455,3.67636363636364,1.72636363636364,0.523636363636364,0.173636363636364,-2.19545454545455,-0.664545454545455,0.0881818181818182
"151",0.708333333333333,0.7325,3.58333333333333,0.914166666666667,0.145,0.3025,-1.95166666666667,-0.0816666666666667,-0.331666666666667
"152",0.656153846153846,0.657692307692308,3.23692307692308,1.06538461538462,-0.0384615384615385,0.0738461538461538,-1.79230769230769,-0.183076923076923,0.0869230769230769
"153",0.810769230769231,0.796923076923077,3.40076923076923,1.20461538461538,0.13,0.249230769230769,-1.64,-0.02,0.234615384615385
"154",0.945714285714286,0.655714285714286,3.86285714285714,1.27785714285714,-0.0721428571428571,-0.145714285714286,-2.10428571428571,-0.204285714285714,0.211428571428571
"155",1.22153846153846,0.836153846153846,3.17307692307692,2.07769230769231,0.509230769230769,0.252307692307692,-1.34538461538462,-0.303846153846154,0.800769230769231
"156",1.05214285714286,1.01642857142857,2.73857142857143,1.945,0.352142857142857,0.472857142857143,-0.877142857142857,-0.01,0.964285714285714
"157",0.894285714285714,0.886428571428571,2.59214285714286,1.77,0.244285714285714,0.36,-0.988571428571429,-0.127142857142857,0.836428571428572
"158",0.625714285714286,0.615714285714286,2.82785714285714,1.31214285714286,-0.145,-0.199285714285714,-1.72,-0.462142857142857,0.202142857142857
"159",0.67875,0.444375,4.525625,0.338125,0.00125,-0.075,-2.998125,-0.278125,-0.936875
"160",0.559333333333333,0.829333333333333,2.65733333333333,1.20866666666667,-0.165333333333333,0.204666666666667,-1.20866666666667,-0.0133333333333333,0.59
"161",0.759375,0.83875,3.334375,1.169375,-0.105625,0.2375,-1.481875,0.145,0.49875
"162",1.06533333333333,1.104,2.738,1.96666666666667,0.4,0.615333333333333,-0.712666666666667,0.132666666666667,1.112
"163",1.148125,0.88625,3.085,1.87125,0.659375,0.855,-1.026875,0.060625,0.924375
"164",0.625625,0.94375,2.54625,1.37125,-0.07,0.28375,-1.026875,0.025625,0.615
"165",1.10352941176471,1.32058823529412,2.37882352941176,2.17588235294118,0.458823529411765,0.721176470588235,0.135294117647059,0.627058823529412,1.75176470588235
"166",1.29333333333333,0.489166666666667,4.31333333333333,1.67,0.715,0.2675,-2.8175,-0.885,-0.3875
"167",0.526153846153846,0.156923076923077,3.71923076923077,0.783076923076923,-0.175384615384615,-0.371538461538462,-3.16384615384615,-1.09307692307692,-1
"168",0.968125,0.838125,3.1925,1.695,0.05625,-0.065625,-1.54875,-0.26375,0.5575
"169",0.690625,0.68,3.0925,1.226875,-0.04375,0.02375,-1.7,-0.244375,0.190625
"170",0.855294117647059,0.71,3.70588235294118,1.15705882352941,-0.00352941176470588,0.0629411764705882,-1.95705882352941,-0.0952941176470588,0.115294117647059
"171",1.2275,0.91,3.096875,2.14375,0.454375,0.2325,-1.26,-0.273125,0.839375
"172",0.791176470588235,0.778823529411765,2.86647058823529,1.57,-0.03,-0.0817647058823529,-1.51470588235294,-0.351764705882353,0.404117647058824
"173",0.837777777777778,1.01944444444444,2.845,1.57944444444444,0.0327777777777778,0.301111111111111,-1.035,0.0944444444444444,0.792777777777778
"174",0.904166666666667,-0.293333333333333,5.205,0.666666666666667,-0.0541666666666667,-0.705,-4.6925,-1.61916666666667,-1.80916666666667
"175",0.905,-0.286666666666667,5.215,0.660833333333333,-0.05,-0.693333333333333,-4.68833333333333,-1.60916666666667,-1.81083333333333
"176",0.815,-0.0633333333333333,4.52666666666667,0.884166666666667,0.0466666666666667,-0.3725,-3.9925,-1.45583333333333,-1.43083333333333
"177",0.803333333333333,0.972380952380952,2.76714285714286,1.57952380952381,0.00142857142857143,0.238571428571429,-1.08904761904762,0.00142857142857143,0.750952380952381
"178",5.30833333333333,3.71333333333333,10.135,4.41333333333333,2.69,2.73,0.708333333333333,4.62666666666667,4.72333333333333
"179",5.63714285714286,3.41,11.8057142857143,3.98714285714286,3.06285714285714,1.96285714285714,-1.66857142857143,3.41285714285714,3.05142857142857
"180",3.9225,1.2175,9.1725,2.695,5.515,5.4775,-3.4875,0.47,-0.3925
"181",7.3875,4.35,18.0275,3.085,6.805,5.4825,-3.055,5.62,1.215
"182",3.20666666666667,-0.133333333333333,7.57333333333333,1.84666666666667,3.89,4.10666666666667,-3.01666666666667,0.56,0.0966666666666667
"183",5.546,2.106,9.962,4.656,4.91,4.092,-0.856,2.72,2.766
"184",5.065,1.06333333333333,8.15333333333333,4.87166666666667,4.70833333333333,3.67333333333333,-1.50333333333333,1.00666666666667,2.17666666666667
"185",6.802,3.28,14.316,4.142,6.542,5.464,-2.416,3.756,1.744
"186",3.51,0.17,6.9425,2.8,3.765,4.06,-1.9175,0.9375,1.125
"187",2.59,-1.04,7.825,0.695,3.7825,4.2875,-4.81,-0.355,-1.4025
"188",3.37666666666667,0.286666666666667,5.84333333333333,3.18333333333333,3.42333333333333,3.85,-0.496666666666667,1.48,2.03666666666667
"189",2.248,-0.194,7.882,0.856,0.436,-0.726,-4.858,-0.348,-0.746
"190",2.12,-0.14375,8.16125,0.69625,-0.22625,-1.44625,-5.20625,-0.34875,-0.8675
