"systems","nAtoms","compos","Eref","B3LYP","B97-1","BH&HLYP","BLYP","CAM-B3LYP","LC-ωPBE","PBE","PBE0","PW86PBE"
"allene",7,"4 H + 3 C "," -703.50"," -0.35","  1.10"," 21.47"," -0.28"," -1.63","  2.10","-19.67"," -5.28"," -8.55"
"cyclopropene",7,"4 H + 3 C "," -683.20","  5.25","  5.65"," 25.92","  7.08","  2.03"," -0.91","-17.55"," -4.77"," -4.87"
"propylene",9,"6 H + 3 C "," -860.73","  2.81","  6.64"," 21.38","  8.28"," -0.97","  3.64","-12.09"," -1.74","  1.72"
"cyclopropane",9,"6 H + 3 C "," -853.39","  4.58","  7.26"," 22.10"," 11.91"," -1.03"," -2.96","-14.01"," -5.21","  1.72"
"propane",11,"8 H + 3 C ","-1006.75","  4.23"," 10.38"," 20.68"," 14.46"," -1.66","  3.27"," -7.29"," -0.13","  9.34"
"butadiene",10,"6 H + 4 C ","-1012.85","  4.04","  5.52"," 30.19","  7.52","  0.69","  5.62","-20.76"," -4.30"," -4.06"
"2-butyne",10,"6 H + 4 C ","-1004.36","  4.62","  6.26"," 30.45","  8.71","  0.12","  1.84","-20.32"," -4.64"," -3.52"
"methylene-cyclopropane",10,"6 H + 4 C "," -991.03","  2.68","  3.04"," 28.36","  7.68"," -2.78"," -5.26","-26.46","-11.13"," -7.71"
"bicyclobutane",10,"6 H + 4 C "," -987.45","  9.99","  9.30"," 34.41"," 16.91","  2.52"," -6.29","-23.21"," -9.49"," -2.50"
"cyclobutene",10,"6 H + 4 C ","-1001.99","  8.62","  6.22"," 33.26"," 14.38","  2.45"," -0.97","-21.10"," -6.62"," -0.71"
"cyclobutane",12,"8 H + 4 C ","-1149.08","  8.28","  8.42"," 30.45"," 18.95"," -0.20"," -2.81","-17.23"," -6.19","  5.67"
"isobutene",12,"8 H + 4 C ","-1158.79","  6.10","  9.75"," 29.72"," 14.78"," -0.36","  3.83","-15.55"," -2.68","  4.21"
"trans-butane",14,"10 H + 4 C ","-1301.19","  7.18"," 13.20"," 28.61"," 20.58"," -1.32","  3.32","-10.74"," -1.13"," 11.72"
"isobutane",14,"10 H + 4 C ","-1302.95","  8.40"," 14.27"," 29.73"," 21.90"," -0.39","  4.23"," -9.75"," -0.14"," 12.80"
"spiropentane",13,"8 H + 5 C ","-1284.51","  9.24","  8.46"," 38.62"," 19.36"," -0.76"," -9.90","-29.75","-13.67"," -3.29"
"benzene",12,"6 H + 6 C ","-1368.25","  8.08","  1.34"," 45.51"," 12.65","  1.13"," -1.17","-40.13","-16.19","-13.21"
"ch2f2",5,"2 F + 2 H + 1 C "," -437.21","  2.82","  1.38"," 21.98","  0.08"," -2.47"," -1.57","-13.16","  0.84"," -0.93"
"chf3",5,"3 F + 1 H + 1 C "," -458.90","  6.18","  0.34"," 31.11","  0.76"," -1.97"," -3.98","-19.14","  0.20"," -2.40"
"ch2cl2",5,"2 H + 1 C + 2 Cl "," -371.47","  8.89","  3.02"," 20.71"," 10.15","  7.05","  6.15"," -7.64","  0.09","  3.71"
"chcl3",5,"1 H + 1 C + 3 Cl "," -345.77"," 15.52","  3.37"," 30.92"," 14.85"," 13.21","  8.97","-11.14","  0.22","  3.65"
"methylamine",7,"1 N + 5 H + 1 C "," -582.25"," -1.33","  4.47"," 14.79","  0.77"," -3.70","  2.82"," -8.02","  1.51","  0.53"
"methyl-cyanide",6,"1 N + 3 H + 2 C "," -615.89","  0.47","  1.10"," 25.08"," -3.37"," -1.07","  1.32","-18.82"," -1.24","-10.99"
"nitromethane",7,"1 N + 2 O + 3 H + 1 C "," -601.48","  0.28"," -2.90"," 47.16","-14.90"," -2.20"," -2.50","-39.14"," -2.93","-23.67"
