"","G4MP2","B3LYP","M06-2X","wB97X-D"
"429",-0.370000000000005,13.13,1.08,6.45
"430",-0.5,12.31,0.789999999999999,5.93
"431",1.24,9.86,4.95,7.5
"432",-3.72,4.38,-0.58,1.72
"433",-1.23,9.39,-1.36,2.45
"434",0.26,9.73,3.49,6.05
"435",-3.35,6.57,-2.92,2.4
"436",0.200000000000003,7.91,22.87,24.17
"437",-0.98,14.95,2.35,7.81
"438",-2.3,7.03,6.45,8.73999999999999
"439",-1.27,13.07,-1.71,5.07
"440",-2.57,9.97,-0.270000000000001,6.5
"441",-5.1,7.34,-3.25,2.3
"442",2.81,14.71,1.17,10.47
"443",-0.369999999999976,13.44,8.23000000000002,3.91000000000003
"444",0.93,5.52,1.91,1.36
"445",1.18000000000001,7.87,1.83,2.32000000000001
"446",0.0300000000000011,4.98,3,1.61
"447",0.0399999999999991,5.53,2.36,1.43
"448",-0.359999999999999,5.28,2.76000000000001,1.39
"449",-0.400000000000006,8.81,6.18000000000001,4.05
"450",-0.330000000000013,8.86,6.34999999999999,4.28
"451",-0.539999999999992,8.7,6.14,4.06
"452",0.0800000000000125,9.24000000000001,5.78,3.06
"453",1.22,12.55,7.59999999999999,4.92999999999998
"454",-0.959999999999994,4.98,1.88000000000001,2.19
"455",0.0900000000000034,11.76,11.85,5.85999999999999
"456",-2.55000000000001,13.64,10.08,2.33999999999997
"457",-0.0999999999999943,10.78,5.97,1.90000000000001
"458",-1.10999999999999,21.62,9.61000000000001,6.49000000000001
"459",1.43,34.81,11.61,13.36
